Recon ID,Transaction ID,Recon Date,Status,Issue Type,Amount Difference (INR),FX Rate Variance (%),Days to Resolve,Resolution Date
RECON000001,HDFC2026242409,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000002,HDFC2026432619,2024-01-01,Unmatched,Amount Mismatch,384.0,0.08839392383850614,7,2024-01-08
RECON000003,HDFC2026215014,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000004,HDFC2026991297,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000005,HDFC2026915573,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000006,HDFC2026722252,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000007,HDFC2026266881,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000008,HDFC2026250915,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000009,HDFC2026411421,2024-01-01,Unmatched,Missing Settlement,156748.0,100.0,6,2024-01-07
RECON000010,HDFC2026565609,2024-01-01,Unmatched,Amount Mismatch,2936.0,2.9024190120308035,11,2024-01-12
RECON000011,HDFC2026809809,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000012,HDFC2026999812,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000013,HDFC2026166463,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000014,HDFC2026598560,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000015,HDFC2026620585,2024-01-01,Unmatched,Missing Settlement,335846.0,100.0,13,2024-01-14
RECON000016,HDFC2026625814,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000017,HDFC2026389250,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000018,HDFC2026757212,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000019,HDFC2026730565,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000020,HDFC2026916949,2024-01-01,Unmatched,Missing Settlement,178431.0,100.0,12,2024-01-13
RECON000021,HDFC2026600338,2024-01-01,Duplicate,Duplicate Transaction,0.0,0.0,14,2024-01-15
RECON000022,HDFC2026248724,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000023,HDFC2026610996,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000024,HDFC2026196292,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000025,HDFC2026866208,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000026,HDFC2026253262,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000027,HDFC2026444528,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000028,HDFC2026700480,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000029,HDFC2026407669,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000030,HDFC2026746878,2024-01-01,Matched,None,0.0,0.0,0,2024-01-01 00:00:00
RECON000031,HDFC2026343152,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000032,HDFC2026198012,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000033,HDFC2026408340,2024-01-02,Matched,None,0.0,0.0,0,2024-01-02 00:00:00
RECON000034,HDFC2026934551,2024-01-02,Duplicate,Duplicate Transaction,0.0,0.0,5,2024-01-07
