Transaction ID,Date,Time,Customer ID,Direction,Corridor,From Currency,To Currency,INR Amount,Foreign Amount,FX Rate,Value Date,Status,Processing Time (Hours),Exception Flag,Exception Reason,Channel,SLA Breach
HDFC2026242409,2024-01-01,21:08:00,CUST130479,Outward,UAE,INR,AED,384405.0,16662.55,23.07,2024-01-02,Completed,105,No,None,SWIFT,No
HDFC2026432619,2024-01-01,04:24:00,CUST963812,Outward,Australia,INR,AUD,434419.0,7966.61,54.53,2024-01-02,Completed,71,Yes,KYC mismatch,SWIFT,No
HDFC2026215014,2024-01-01,09:43:00,CUST953146,Inward,USA,USD,INR,729951.0,8870.47,82.29,2024-01-03,Completed,27,No,None,SWIFT,No
HDFC2026991297,2024-01-01,00:34:00,CUST637273,Inward,USA,USD,INR,115998.0,1388.03,83.57,2024-01-03,Completed,84,No,None,Online,No
HDFC2026915573,2024-01-01,03:26:00,CUST391335,Outward,Singapore,INR,SGD,370352.0,5893.57,62.84,2024-01-03,Completed,111,No,None,SWIFT,No
HDFC2026722252,2024-01-01,16:48:00,CUST984674,Outward,UAE,INR,AED,394268.0,17186.92,22.94,2024-01-03,Completed,81,No,None,SWIFT,No
HDFC2026266881,2024-01-01,09:39:00,CUST898319,Inward,UK,GBP,INR,179728.0,1728.99,103.95,2024-01-03,Completed,102,No,None,SWIFT,No
HDFC2026250915,2024-01-01,22:24:00,CUST869124,Outward,USA,INR,USD,129092.0,1548.05,83.39,2024-01-03,Completed,46,No,None,SWIFT,No
HDFC2026411421,2024-01-01,00:54:00,CUST816846,Inward,UAE,AED,INR,156748.0,6938.82,22.59,2024-01-03,Completed,56,No,None,Branch,No
HDFC2026565609,2024-01-01,09:01:00,CUST587602,Inward,USA,USD,INR,101157.0,1216.27,83.17,2024-01-03,Completed,99,No,None,SWIFT,No
HDFC2026809809,2024-01-01,14:42:00,CUST598035,Outward,USA,INR,USD,141639.0,1673.03,84.66,2024-01-03,Completed,92,No,None,NEFT,No
HDFC2026999812,2024-01-01,08:23:00,CUST391974,Outward,Singapore,INR,SGD,259785.0,4264.36,60.92,2024-01-03,Completed,26,No,None,Branch,No
HDFC2026166463,2024-01-01,09:23:00,CUST784466,Outward,UAE,INR,AED,198447.0,8742.16,22.7,2024-01-02,Completed,119,No,None,NEFT,No
HDFC2026598560,2024-01-01,10:04:00,CUST154724,Inward,UAE,AED,INR,158659.0,6904.22,22.98,2024-01-03,Completed,78,No,None,Online,No
HDFC2026620585,2024-01-01,16:06:00,CUST279076,Inward,Australia,AUD,INR,335846.0,6095.21,55.1,2024-01-03,Completed,115,No,None,SWIFT,No
HDFC2026625814,2024-01-01,19:38:00,CUST888198,Inward,USA,USD,INR,202143.0,2462.46,82.09,2024-01-02,On-hold,38,No,None,SWIFT,No
HDFC2026389250,2024-01-01,03:01:00,CUST584253,Inward,UK,GBP,INR,197964.0,1913.44,103.46,2024-01-02,Completed,110,Yes,Invalid beneficiary details,SWIFT,No
HDFC2026757212,2024-01-01,07:32:00,CUST775227,Outward,Australia,INR,AUD,104974.0,1941.81,54.06,2024-01-03,Completed,74,No,None,SWIFT,No
HDFC2026730565,2024-01-01,22:16:00,CUST842811,Inward,Malaysia,MYR,INR,70985.0,4044.73,17.55,2024-01-02,Completed,119,No,None,NEFT,No
HDFC2026916949,2024-01-01,14:27:00,CUST176711,Inward,Singapore,SGD,INR,178431.0,2902.26,61.48,2024-01-03,Completed,31,No,None,NEFT,No
HDFC2026600338,2024-01-01,04:01:00,CUST365940,Inward,UK,GBP,INR,382351.0,3573.37,107.0,2024-01-03,Failed,22,Yes,Sanctions check flag,NEFT,No
HDFC2026248724,2024-01-01,07:01:00,CUST337686,Inward,USA,USD,INR,90909.0,1104.34,82.32,2024-01-03,Completed,107,No,None,SWIFT,No
HDFC2026610996,2024-01-01,14:41:00,CUST406202,Inward,USA,USD,INR,213505.0,2547.18,83.82,2024-01-02,Completed,103,No,None,SWIFT,No
HDFC2026196292,2024-01-01,10:39:00,CUST602709,Inward,UK,GBP,INR,72823.0,699.21,104.15,2024-01-02,Completed,108,No,None,Online,No
HDFC2026866208,2024-01-01,07:33:00,CUST451219,Inward,Singapore,SGD,INR,78925.0,1291.31,61.12,2024-01-02,Completed,84,No,None,SWIFT,No
HDFC2026253262,2024-01-01,05:44:00,CUST864665,Inward,Malaysia,MYR,INR,287316.0,16389.96,17.53,2024-01-02,Pending,46,No,None,SWIFT,No
HDFC2026444528,2024-01-01,06:28:00,CUST912343,Inward,Canada,CAD,INR,78530.0,1288.64,60.94,2024-01-03,Completed,100,No,None,NEFT,No
HDFC2026700480,2024-01-01,09:30:00,CUST891704,Inward,USA,USD,INR,340905.0,4126.68,82.61,2024-01-03,Completed,56,No,None,SWIFT,No
HDFC2026407669,2024-01-01,15:19:00,CUST197898,Outward,UK,INR,GBP,907688.0,8748.8,103.75,2024-01-03,Completed,96,No,None,SWIFT,No
HDFC2026746878,2024-01-01,06:59:00,CUST687485,Inward,Malaysia,MYR,INR,125766.0,7061.54,17.81,2024-01-02,Completed,54,No,None,SWIFT,No
HDFC2026343152,2024-01-02,02:16:00,CUST530798,Inward,UAE,AED,INR,1303761.0,57485.05,22.68,2024-01-03,Completed,27,No,None,Branch,No
HDFC2026198012,2024-01-02,10:01:00,CUST960026,Inward,Canada,CAD,INR,251119.0,4073.96,61.64,2024-01-03,On-hold,55,No,None,SWIFT,No
HDFC2026408340,2024-01-02,12:27:00,CUST806056,Inward,USA,USD,INR,124520.0,1476.76,84.32,2024-01-03,Completed,58,No,None,NEFT,No
HDFC2026934551,2024-01-02,04:11:00,CUST218574,Inward,UAE,AED,INR,237721.0,10376.3,22.91,2024-01-04,Completed,120,No,None,Branch,No
HDFC2026617125,2024-01-02,16:44:00,CUST241298,Inward,UAE,AED,INR,107941.0,4842.58,22.29,2024-01-04,Completed,102,No,None,Branch,No
HDFC2026551494,2024-01-02,16:18:00,CUST504929,Outward,UK,INR,GBP,181804.0,1719.67,105.72,2024-01-03,Completed,62,No,None,NEFT,No
HDFC2026869423,2024-01-02,06:09:00,CUST115180,Inward,Singapore,SGD,INR,522631.0,8355.41,62.55,2024-01-03,Completed,51,No,None,Branch,No
HDFC2026777844,2024-01-02,19:30:00,CUST104487,Outward,UAE,INR,AED,108721.0,4755.95,22.86,2024-01-04,Completed,76,No,None,Branch,No
HDFC2026135107,2024-01-02,01:17:00,CUST639707,Outward,UK,INR,GBP,267530.0,2567.96,104.18,2024-01-03,Failed,22,No,None,Branch,No
HDFC2026388140,2024-01-02,17:00:00,CUST866577,Inward,UAE,AED,INR,168451.0,7476.74,22.53,2024-01-03,Pending,39,No,None,NEFT,No
